,ID,area_type,availability,location,size,society,total_sqft,bath,balcony,dist_from_city
1404,1404,Plot  Area,Ready To Move,Manjunath Nagar,5 Bedroom,Unknown,1200,6.0,2.0,8.4
1405,1405,Super built-up  Area,20-Dec,Kanakpura Road,3 BHK,PrarePa,1100,2.0,1.0,26.5
1406,1406,Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Unknown,1305,3.0,1.0,19.3
1407,1407,Built-up  Area,Ready To Move,Ayappa Nagar,2 BHK,Saionl ,1236,2.0,1.0,
1408,1408,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Unknown,1125,1.0,2.0,12.9
1409,1409,Built-up  Area,18-May,KR Puram,2 BHK,SancyRe,1075,2.0,2.0,11.9
1410,1410,Super built-up  Area,Ready To Move,BEML Layout,3 BHK,Unknown,2000,3.0,2.0,13.5
1411,1411,Plot  Area,Ready To Move,Kadugondanahalli,8 Bedroom,Unknown,772,5.0,1.0,7.1
1412,1412,Built-up  Area,Ready To Move,Thanisandra,6 Bedroom,Unknown,2999.97,6.0,0.0,11.5
1413,1413,Super built-up  Area,Ready To Move,Kadugodi,2 BHK,MSingco,1150,2.0,2.0,18.7
1414,1414,Plot  Area,Ready To Move,9th Block Jayanagar,4 Bedroom,Unknown,1440,4.0,1.0,8.7
1415,1415,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,GSideS ,1085,2.0,1.0,14.4
1416,1416,Built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1785,3.0,0.0,13.4
1417,1417,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2475,4.0,3.0,8.3
1418,1418,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1930,4.0,2.0,11.5
1419,1419,Super built-up  Area,Ready To Move,4th Phase JP Nagar,2 BHK,Unknown,600,4.0,1.0,10.5
1420,1420,Plot  Area,Ready To Move,Kadugondanahalli,2 Bedroom,Unknown,800,1.0,0.0,7.1
1421,1421,Built-up  Area,Ready To Move,Kumaraswami Layout,4 BHK,Unknown,2450,3.0,2.0,12.2
1422,1422,Plot  Area,17-Dec,akshaya nagar t c palya,4 Bedroom,Unknown,1200,4.0,0.0,
1423,1423,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1920,3.0,3.0,18.8
1424,1424,Super built-up  Area,18-Apr,Kothannur,2 BHK,Unknown,1085,2.0,2.0,11.8
1425,1425,Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Bhmesy ,760,1.0,2.0,11.5
1426,1426,Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,Kencyes,1201,2.0,3.0,13.3
1427,1427,Super built-up  Area,18-Jul,Electronic City,3 BHK,Prarkun,1615,3.0,2.0,18.1
1428,1428,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,AaineSi,1289,2.0,1.5947635795232513,10.5
1429,1429,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4.0,2.0,30.9
1430,1430,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,HMonymp,1377,2.0,2.0,15.0
1431,1431,Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,LeDuvMy,2880,3.0,2.0,4.3
1432,1432,Plot  Area,Ready To Move,Laxmi Sagar Layout,3 Bedroom,Pudgear,1892,3.0,2.0,12.7
1433,1433,Built-up  Area,Ready To Move,Shivaji Nagar,3 BHK,HMqueu ,2176,3.0,3.0,3.3
1434,1434,Super built-up  Area,21-Dec,Thanisandra,1 BHK,Bhe 2ko,663,1.0,0.0,11.5
1435,1435,Built-up  Area,18-Dec,Electronic City,2 BHK,Unknown,1165,2.0,1.0,18.1
1436,1436,Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,Toreeic,3554,4.0,1.0,17.1
1437,1437,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1260,2.0,1.0,11.5
1438,1438,Built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1095,2.0,1.0,26.9
1439,1439,Super built-up  Area,Ready To Move,KR Garden,2 BHK,Unknown,1050,2.0,2.0,6.6
1440,1440,Super built-up  Area,Ready To Move,Seegehalli,2 BHK,Sriferi,1176,2.0,2.0,13.9
1441,1441,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1801,3.0,2.0,11.5
1442,1442,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Unknown,1315,2.0,3.0,17.3
1443,1443,Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2.0,2.0,14.6
1444,1444,Plot  Area,Ready To Move,NRI Layout,2 Bedroom,Unknown,2400,2.0,1.0,12.8
1445,1445,Super built-up  Area,18-Mar,Uttarahalli,3 BHK,JPismPr,1308,2.0,3.0,12.9
1446,1446,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,AdlasRe,4250,4.0,2.0,17.2
1447,1447,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1806,6.0,2.0,11.5
1448,1448,Built-up  Area,17-Dec,Thanisandra,4 Bedroom,Unknown,3671,4.0,1.0,11.5
1449,1449,Super built-up  Area,Ready To Move,Hoodi,3 BHK,EsaceLe,2144,3.0,2.0,13.3
1450,1450,Built-up  Area,Ready To Move,Hoskote,2 BHK,Corus C,1065,2.0,3.0,24.7
1451,1451,Super built-up  Area,17-Oct,Balagere,2 BHK,Soresea,1205,2.0,1.0,16.1
1452,1452,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1160,2.0,2.0,12.9
1453,1453,Plot  Area,Ready To Move,Kanaka Nagar,4 Bedroom,Unknown,750,4.0,2.0,12.0
1454,1454,Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2.0,2.0,14.6
1455,1455,Plot  Area,18-Jul,mvj engineering college,3 Bedroom,Unknown,1200,3.0,1.0,
1456,1456,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,Unknown,1681,3.0,3.0,17.7
1457,1457,Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,Unknown,1130,2.0,1.0,21.6
1458,1458,Super built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3633,5.0,1.0,13.8
1459,1459,Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3.0,2.0,26.5
1460,1460,Built-up  Area,18-Dec,Bommasandra Industrial Area,2 BHK,Unknown,1065,2.0,1.0,21.6
1461,1461,Super built-up  Area,Ready To Move,Thubarahalli,3 BHK,SaodsGr,1885,3.0,2.0,13.5
1462,1462,Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,Unknown,1500,2.0,2.0,9.7
1463,1463,Super built-up  Area,Ready To Move,Panathur,2 BHK,Unknown,1210,2.0,2.0,14.2
1464,1464,Super built-up  Area,Ready To Move,TC Palaya,2 BHK,BSersTo,1126,2.0,1.0,12.2
1465,1465,Super built-up  Area,Ready To Move,Rayasandra,3 BHK,MJeusyl,1357,2.0,2.0,16.4
1466,1466,Super built-up  Area,Ready To Move,Whitefield,3 BHK,SMuilan,1451,2.0,2.0,17.3
1467,1467,Plot  Area,Ready To Move,Kodigehaali,4 Bedroom,Unknown,1600,3.0,3.0,15.8
1468,1468,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,950,2.0,1.0,14.4
1469,1469,Built-up  Area,Ready To Move,Bellandur,2 BHK,Srure S,960,2.0,2.0,12.9
1470,1470,Super built-up  Area,Ready To Move,2nd Block Bel Layout,3 BHK,Unknown,1625,3.0,3.0,
1471,1471,Plot  Area,18-May,Kaggalipura,3 Bedroom,AxvamTa,2200,4.0,1.0,32.9
1472,1472,Super built-up  Area,Ready To Move,Ambalipura,3 BHK,Dimes E,1607,2.0,2.0,13.7
1473,1473,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,900,2.0,1.0,26.5
1474,1474,Built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2 BHK,ViortCo,1080,2.0,2.0,21.8
1475,1475,Super built-up  Area,Ready To Move,Cooke Town,3 BHK,Unknown,2300,3.0,1.0,5.4
1476,1476,Super built-up  Area,Ready To Move,Hosa Road,4 BHK,Pamesy ,1708,3.0,0.0,15.7
1477,1477,Built-up  Area,Ready To Move,Yeshwanthpur,6 Bedroom,Unknown,2500,5.0,2.0,13.4
1478,1478,Super built-up  Area,Ready To Move,Bellandur,3 BHK,Krala D,1690,2.0,2.0,12.9
1479,1479,Built-up  Area,Ready To Move,RR Layout,5 Bedroom,Unknown,2100,3.0,0.0,
1480,1480,Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,Unknown,1269,2.0,2.0,8.9
1481,1481,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2.0,2.0,14.9
1482,1482,Built-up  Area,Ready To Move,Haralur Road,3 BHK,Unknown,1890,3.0,2.0,14.9
1483,1483,Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1165,2.0,1.0,19.3
1484,1484,Super built-up  Area,Ready To Move,BTM Layout,2 BHK,Unknown,1196,2.0,2.0,7.7
1485,1485,Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2.0,2.0,14.6
1486,1486,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brglede,1630,3.0,2.0,4.7
1487,1487,Super built-up  Area,19-Apr,Whitefield,2 BHK,ARipsul,1063,2.0,1.0,17.3
1488,1488,Super built-up  Area,Ready To Move,Shikaripalya,2 BHK,ALtonea,1025,2.0,1.0,19.7
1489,1489,Super built-up  Area,Ready To Move,Chikkabanavar,2 BHK,Unknown,1067,2.0,1.0,19.7
1490,1490,Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1299,2.0,1.0,26.5
1491,1491,Super built-up  Area,18-May,Panathur,2 BHK,Diarknt,1343,2.0,1.0,14.2
1492,1492,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Unknown,1330,2.0,2.0,20.3
1493,1493,Super built-up  Area,Ready To Move,Mallasandra,3 BHK,ShnyeSy,1524,2.0,3.0,18.4
1494,1494,Super built-up  Area,Ready To Move,Lingadheeranahalli,4 BHK,Soiewre,2236,4.0,2.0,21.4
1495,1495,Super built-up  Area,Ready To Move,Domlur,3 BHK,IBictnd,2955,3.0,1.5947635795232513,5.4
1496,1496,Super built-up  Area,18-Mar,Raja Rajashweri Nagar,3 BHK,Unknown,1410,2.0,2.0,
1497,1497,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Unknown,1581,3.0,3.0,11.8
1498,1498,Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1205,2.0,1.0,16.1
1499,1499,Super built-up  Area,Ready To Move,Thyagaraja Nagar,3 BHK,Unknown,1270,2.0,2.0,8.4
1500,1500,Super built-up  Area,Ready To Move,VHBCS Layout,3 BHK,Unknown,1353,2.0,2.0,
1501,1501,Plot  Area,18-Feb,Jinkethimmanahalli,2 Bedroom,Unknown,1200,2.0,1.0,
1502,1502,Super built-up  Area,Ready To Move,basaveshwarnagar,3 BHK,Unknown,1250,2.0,1.0,
1503,1503,Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,1950.2,3.0,2.0,36.2
1504,1504,Super built-up  Area,18-Nov,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,17.2
1505,1505,Super built-up  Area,19-Dec,Kanakapura,1 BHK,GoityEt,712 - 938,1.0,0.0,47.7
1506,1506,Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1000,2.0,2.0,17.2
1507,1507,Built-up  Area,18-Apr,Yelahanka,1 BHK,Prensya,602,1.0,1.0,20.8
1508,1508,Built-up  Area,Ready To Move,Malleshwaram,5 Bedroom,Unknown,3000,4.0,0.0,8.3
1509,1509,Super built-up  Area,21-Jul,Hoodi,2 BHK,GoAirej,1108,2.0,0.0,13.3
1510,1510,Super built-up  Area,Ready To Move,Thyagaraja Nagar,2 BHK,Unknown,1040,2.0,1.0,8.4
1511,1511,Super built-up  Area,20-Dec,Sarjapur,2 BHK,Unknown,1451,2.0,1.0,17.2
1512,1512,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1196,2.0,2.0,15.3
1513,1513,Super built-up  Area,18-May,Kanakpura Road,1 BHK,Maionus,850,1.0,1.0,26.5
1514,1514,Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2171.66,3.0,2.0,36.2
1515,1515,Super built-up  Area,Ready To Move,Kanaka Nagar,2 BHK,SoersTo,900,2.0,1.0,12.0
1516,1516,Super built-up  Area,Ready To Move,Kudlu,1 BHK,GKityel,720,1.0,1.0,13.4
1517,1517,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1573,3.0,2.0,11.5
1518,1518,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ahriaup,1026,2.0,1.0,17.2
1519,1519,Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Unknown,1400,2.0,2.0,7.2
1520,1520,Built-up  Area,18-Jul,Electronic City Phase II,3 BHK,Sryalan,1400,2.0,2.0,19.3
1521,1521,Built-up  Area,Ready To Move,Banashankari Stage III,4 Bedroom,Unknown,2100,3.0,1.0,11.2
1522,1522,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,1150,2.0,1.0,17.2
1523,1523,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Unknown,1500,3.0,2.0,15.3
1524,1524,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Seardac,2400,3.0,2.0,8.3
1525,1525,Plot  Area,Ready To Move,HRBR Layout,3 Bedroom,Unknown,1200,3.0,2.0,8.5
1526,1526,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1790,3.0,2.0,11.8
1527,1527,Super built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,SVovelm,1125,2.0,2.0,15.4
1528,1528,Super built-up  Area,18-Dec,Hennur,3 BHK,Exitym ,1783 - 1878,3.0,0.0,10.0
1529,1529,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Spsic C,1100,2.0,1.0,10.9
1530,1530,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Unknown,120Sq. Yards,2.0,1.0,11.0
1531,1531,Built-up  Area,Ready To Move,Banaswadi,2 BHK,Shidei ,1105,2.0,2.0,7.8
1532,1532,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Juaxyan,1110,2.0,2.0,11.5
1533,1533,Super built-up  Area,Ready To Move,Dasanapura,1 BHK,Tavenew,708,1.0,1.0,29.2
1534,1534,Super built-up  Area,Ready To Move,Kudlu,2 BHK,Unknown,1027,2.0,2.0,13.4
1535,1535,Super built-up  Area,18-May,"Banashankari 3rd stage, Vivekanandanagar",3 BHK,Unknown,1600,3.0,1.0,
1536,1536,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,15.0
1537,1537,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Mailsaf,1205,2.0,2.0,17.2
1538,1538,Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,NDncysi,1450,2.0,2.0,10.9
1539,1539,Plot  Area,Ready To Move,Thyagaraja Nagar,4 Bedroom,Unknown,750,4.0,2.0,8.4
1540,1540,Plot  Area,Ready To Move,Annaiah Reddy Layout,1 Bedroom,Unknown,540,1.0,0.0,
1541,1541,Built-up  Area,Ready To Move,Dasarahalli,2 BHK,Prndsde,1200,2.0,2.0,29.4
1542,1542,Plot  Area,Ready To Move,Nagarbhavi,5 Bedroom,Unknown,1200,5.0,1.0,17.0
1543,1543,Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Mykyayi,1837,2.0,2.0,13.5
1544,1544,Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1346,2.0,1.0,17.3
1545,1545,Built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1012,2.0,1.0,16.1
1546,1546,Super built-up  Area,18-Dec,Gopalapura,3 BHK,Sothadr,1950.2,3.0,2.0,36.2
1547,1547,Super built-up  Area,Ready To Move,Atmananda Colony,2 BHK,Unknown,1125,2.0,2.0,
1548,1548,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,SraruSr,1500,2.0,2.0,8.9
1549,1549,Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1197,2.0,1.0,16.1
1550,1550,Super built-up  Area,18-Sep,Chandapura,3 BHK,SunceEs,1230,2.0,2.0,24.0
1551,1551,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Unknown,1100,2.0,2.0,10.0
1552,1552,Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1563,2.0,2.0,18.3
1553,1553,Plot  Area,Ready To Move,4th Block Jayanagar,7 Bedroom,Unknown,2240,4.0,1.0,
1554,1554,Super built-up  Area,Ready To Move,Hebbal Kempapura,4 BHK,GonumPl,3729,4.0,2.0,13.4
1555,1555,Plot  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Krs A C,1600,3.0,1.0,17.2
1556,1556,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,1715,3.0,3.0,16.9
1557,1557,Built-up  Area,Ready To Move,Bannerghatta Road,4 Bedroom,Unknown,2400,4.0,1.0,18.8
1558,1558,Super built-up  Area,18-Jul,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,15.4
1559,1559,Plot  Area,Ready To Move,Banaswadi,6 Bedroom,Unknown,1200,6.0,2.0,7.8
1560,1560,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Unknown,1123,2.0,2.0,12.9
1561,1561,Super built-up  Area,20-Jan,Whitefield,2 BHK,Unknown,1276,2.0,1.0,17.3
1562,1562,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Velas V,1315,2.0,3.0,20.8
1563,1563,Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,Unknown,1270,2.0,2.0,10.3
1564,1564,Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,Unknown,1325,2.0,2.0,9.7
1565,1565,Super built-up  Area,18-Apr,Varthur,3 BHK,Muistry,1600,3.0,2.0,17.4
1566,1566,Super built-up  Area,Ready To Move,Jakkur,3 BHK,BrdgeNo,1660,3.0,2.0,12.9
1567,1567,Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Peace P,1299,2.0,3.0,11.3
1568,1568,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Ozensve,953,2.0,1.0,14.9
1569,1569,Super built-up  Area,Ready To Move,Gunjur,2 BHK,Paestol,1457,2.0,3.0,18.5
1570,1570,Super built-up  Area,18-May,Varthur,2 BHK,Unknown,1000,1.0,1.0,17.4
1571,1571,Built-up  Area,Ready To Move,Mallasandra,3 BHK,Unknown,1100,2.0,3.0,18.4
1572,1572,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Prdomt ,1075,2.0,1.0,20.8
1573,1573,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3.0,3.0,26.5
1574,1574,Super built-up  Area,Ready To Move,Iblur Village,5 BHK,Emine P,5515,6.0,2.0,13.8
1575,1575,Super built-up  Area,Ready To Move,Bellandur,1 BHK,Trows M,950,1.0,1.0,12.9
1576,1576,Plot  Area,Ready To Move,Basaveshwara Nagar,5 Bedroom,Unknown,1200,3.0,1.0,10.9
1577,1577,Super built-up  Area,Ready To Move,Amam Enclave Layout,2 BHK,ArBayeb,1013,2.0,2.0,
1578,1578,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Unknown,1140,2.0,2.0,14.4
1579,1579,Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,Unknown,2100,3.0,3.0,8.7
1580,1580,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Apows M,1430,3.0,1.0,20.8
1581,1581,Plot  Area,Ready To Move,Ilyas Nagar,4 Bedroom,Unknown,600,3.0,0.0,
1582,1582,Carpet  Area,Ready To Move,Anantapura,3 BHK,Grare S,1600,3.0,2.0,
1583,1583,Super built-up  Area,Ready To Move,Ayappa Nagar,2 BHK,Viconth,1190,2.0,1.0,
1584,1584,Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1625,3.0,2.0,11.4
1585,1585,Super built-up  Area,Ready To Move,Classic Paradise Layout,2 BHK,Unknown,1210,2.0,2.0,
1586,1586,Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1615,3.0,2.0,13.3
1587,1587,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,MancyRe,1180,2.0,2.0,13.5
1588,1588,Plot  Area,Ready To Move,Nagasandra,2 Bedroom,Unknown,1500,2.0,0.0,17.6
1589,1589,Built-up  Area,Ready To Move,Bellandur,2 BHK,Srure S,850,2.0,1.0,12.9
1590,1590,Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1130,2.0,2.0,11.8
1591,1591,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Unknown,907,2.0,2.0,7.2
1592,1592,Built-up  Area,Ready To Move,HRBR Layout,2 BHK,Vaaveeh,1300,2.0,3.0,8.5
1593,1593,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1891,3.0,1.0,14.4
1594,1594,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Soncy R,1735,3.0,3.0,14.4
1595,1595,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,38.4
1596,1596,Built-up  Area,Ready To Move,Gowdanapalya,5 BHK,Unknown,24Sq. Meter,5.0,0.0,12.2
1597,1597,Built-up  Area,Ready To Move,Kumaraswami Layout,7 BHK,Unknown,2040,4.0,3.0,12.2
1598,1598,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1590,3.0,2.0,12.9
1599,1599,Plot  Area,Ready To Move,Jayanti Nagar,5 Bedroom,Unknown,1600,5.0,2.0,
1600,1600,Built-up  Area,Ready To Move,Doddakammanahalli,2 BHK,Unknown,1160,2.0,3.0,17.4
1601,1601,Super built-up  Area,Ready To Move,Tasker Town,2 BHK,Unknown,930,1.0,1.0,
1602,1602,Built-up  Area,Ready To Move,Devanahalli,2 BHK,Brrds O,1010,2.0,1.0,38.7
1603,1603,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Briumri,1221,2.0,2.0,18.1
1604,1604,Plot  Area,Ready To Move,Banashankari,4 Bedroom,Unknown,2400,4.0,3.0,11.2
1605,1605,Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1108,2.0,1.0,13.3
1606,1606,Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,Unknown,1000,4.0,2.0,18.0
1607,1607,Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,PualeSk,1370,2.0,1.0,17.2
1608,1608,Super built-up  Area,Ready To Move,Banashankari Stage V,2 BHK,Unknown,920,2.0,1.0,13.6
1609,1609,Super built-up  Area,18-May,Bhoganhalli,2 BHK,Rosha I,1277,2.0,1.0,15.3
1610,1610,Super built-up  Area,18-May,Horamavu Agara,2 BHK,Unknown,1213,2.0,2.0,12.2
1611,1611,Super built-up  Area,Ready To Move,Singasandra,3 BHK,Unknown,1653,3.0,2.0,12.8
1612,1612,Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Peora P,2400,3.0,3.0,17.2
1613,1613,Super built-up  Area,Ready To Move,1st Block Koramangala,4 BHK,Unknown,3000,5.0,3.0,9.8
1614,1614,Plot  Area,Ready To Move,Kothanur,4 Bedroom,Unknown,1600,4.0,3.0,11.8
1615,1615,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Saent A,1321,2.0,1.5947635795232513,20.3
1616,1616,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1570,3.0,2.0,26.5
1617,1617,Built-up  Area,Ready To Move,Hessarghatta,8 Bedroom,Unknown,1150,8.0,1.5947635795232513,34.3
1618,1618,Super built-up  Area,Ready To Move,Nallurhalli,2 BHK,TrryaAi,1053,2.0,3.0,16.5
1619,1619,Super built-up  Area,Ready To Move,Hoysalanagar,3 BHK,PNncysi,1325,2.0,3.0,10.3
1620,1620,Super built-up  Area,18-Nov,manyata,2 BHK,Unknown,1169,2.0,1.0,
1621,1621,Super built-up  Area,20-Jan,Badavala Nagar,2 BHK,DNncasa,1274,2.0,1.0,9.6
1622,1622,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sparam ,1317,2.0,2.0,17.3
1623,1623,Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1195,2.0,1.0,13.3
1624,1624,Super built-up  Area,18-Nov,Whitefield,4 BHK,Asarqz ,2528 - 3188,4.0,0.0,17.3
1625,1625,Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Saineiv,940,2.0,2.0,21.2
1626,1626,Built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3.0,2.0,30.9
1627,1627,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Unknown,1450,3.0,3.0,26.5
1628,1628,Built-up  Area,Ready To Move,Whitefield,3 BHK,Sudama ,1615,3.0,0.0,17.3
1629,1629,Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Unknown,2200,2.0,3.0,17.0
1630,1630,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Mayne A,985,2.0,1.0,16.0
1631,1631,Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Unknown,1116,2.0,1.0,20.3
1632,1632,Super built-up  Area,Ready To Move,Attibele,2 BHK,Jae 2hu,656,2.0,1.0,31.8
1633,1633,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,SLireap,1105,2.0,1.0,8.9
1634,1634,Super built-up  Area,Ready To Move,Whitefield,2 BHK,S mesci,1220,2.0,1.0,17.3
1635,1635,Built-up  Area,Ready To Move,Hoodi,3 BHK,Macanr ,1400,3.0,2.0,13.3
1636,1636,Built-up  Area,Ready To Move,Bhuvaneswari Nagar,4 Bedroom,Unknown,2400,3.0,0.0,
1637,1637,Plot  Area,Ready To Move,Anandapura,3 Bedroom,Unknown,850,3.0,0.0,12.4
1638,1638,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Apmes H,1000,2.0,1.0,12.9
1639,1639,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Unknown,1660,3.0,3.0,18.8
1640,1640,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1330,2.0,1.0,12.9
1641,1641,Super built-up  Area,18-May,Old Madras Road,2 BHK,SheldGr,1165,2.0,1.0,4.7
1642,1642,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2.0,2.0,30.9
1643,1643,Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Puentpa,1270,2.0,2.0,18.8
1644,1644,Super built-up  Area,18-Aug,2nd Phase JP Nagar,2 BHK,Unknown,1070,2.0,2.0,9.2
1645,1645,Built-up  Area,Ready To Move,RWF West Colony,3 BHK,PancyRe,1427,2.0,1.5947635795232513,20.0
1646,1646,Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,SaideHi,1420,2.0,2.0,11.2
1647,1647,Plot  Area,Ready To Move,Kothanur,4 Bedroom,Unknown,1600,5.0,0.0,11.8
1648,1648,Super built-up  Area,Ready To Move,Langford Town,2 BHK,Unknown,2031,2.0,2.0,3.3
1649,1649,Super built-up  Area,19-Jul,Bellandur,2 BHK,Thesseg,1454,2.0,1.0,12.9
