ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price,dist_from_city
4402,Super built-up  Area,Ready To Move,NGR Layout,2 BHK,Unknown,1020,2.0,1.0,45.0,8.6
4403,Plot  Area,Ready To Move,Doddanekundi,4 Bedroom,Unknown,3250,5.0,1.0,850.0,11.9
4404,Super built-up  Area,Ready To Move,Vasantapura main road,2 BHK,Unknown,1037,2.0,1.0,36.28,17.3
4405,Super built-up  Area,Ready To Move,Whitefield,3 BHK,SearkHy,1345,2.0,2.0,57.0,17.3
4406,Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Unknown,1070,2.0,3.0,43.0,11.3
4407,Super built-up  Area,Ready To Move,Sector 6 HSR Layout,4 BHK,Unknown,3000,5.0,1.5817572892040976,270.0,8.6
4408,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1385,2.0,2.0,76.18,13.4
4409,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Niacesa,1207,2.0,2.0,79.9,26.5
4410,Super built-up  Area,Ready To Move,Varthur,2 BHK,Caiseur,1140,2.0,3.0,55.5,17.4
4411,Built-up  Area,Ready To Move,Basavanapura,2 BHK,Papusa ,1220,2.0,2.0,68.0,13.6
4412,Plot  Area,Ready To Move,CQAL Layout,4 Bedroom,Unknown,3811,3.0,2.0,475.0,17.3
4413,Super built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3596,5.0,0.0,252.0,13.8
4414,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Contsci,1965,3.0,3.0,120.0,17.2
4415,Built-up  Area,Ready To Move,Koramangala,3 BHK,KHage G,1760,2.0,0.0,115.0,8.3
4416,Super built-up  Area,18-Mar,Haralur Road,2 BHK,SNnia E,1225,2.0,1.0,70.0,14.9
4417,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Unknown,1075,2.0,2.0,52.43,10.9
4418,Built-up  Area,Ready To Move,Panathur,2 BHK,Unknown,1000,2.0,1.0,68.0,14.2
4419,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1891,3.0,1.0,109.0,14.4
4420,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1322,2.0,2.0,86.0,20.8
4421,Plot  Area,Ready To Move,Mathikere,3 Bedroom,Unknown,1095,3.0,0.0,215.0,11.2
4422,Built-up  Area,Ready To Move,Bellandur,4 Bedroom,Vaodssh,3600,4.0,0.0,260.0,12.9
4423,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Foncync,1045,2.0,1.0,36.58,13.8
4424,Super built-up  Area,Ready To Move,Venugopal Reddy Layout,3 BHK,Patust ,1545,3.0,3.0,85.0,17.3
4425,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,1996,3.0,2.0,135.0,11.5
4426,Super built-up  Area,Ready To Move,Brookefield,2 BHK,Gotaten,1125,2.0,2.0,70.0,15.1
4427,Super built-up  Area,18-Apr,Mysore Road,3 BHK,PrntaEn,1560,3.0,1.0,115.0,28.6
4428,Super built-up  Area,Ready To Move,BEML Layout,3 BHK,Unknown,2000,2.0,2.0,85.0,13.5
4429,Built-up  Area,Ready To Move,Murugeshpalya,4 BHK,IBaveen,3100,4.0,2.0,310.0,6.8
4430,Built-up  Area,Ready To Move,Lake City,2 BHK,Prdenth,780,2.0,1.0,35.0,10.5
4431,Plot  Area,Ready To Move,Lakshmipura,2 Bedroom,Unknown,1350,2.0,1.0,110.0,17.3
4432,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2275,4.0,2.0,180.0,17.2
4433,Super built-up  Area,Ready To Move,Pragathi Nagar,2 BHK,DStra S,1350,2.0,2.0,41.0,17.3
4434,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3.0,3.0,56.0,14.9
4435,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1570,3.0,3.0,64.5,26.5
4436,Super built-up  Area,Ready To Move,Dasanapura,1 BHK,Tavenew,708,1.0,0.0,28.32,29.2
4437,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Mades G,1680,3.0,1.0,160.0,17.2
4438,Super built-up  Area,Ready To Move,Hoodi,2 BHK,SMaxyay,1400,2.0,1.0,82.0,13.3
4439,Super built-up  Area,Ready To Move,Bellandur,2 BHK,GoncyRe,1310,2.0,2.0,72.0,12.9
4440,Built-up  Area,Ready To Move,BTM Layout,6 Bedroom,Unknown,3300,6.0,3.0,165.0,7.7
4441,Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,Shitt S,1175,2.0,1.0,57.0,20.3
4442,Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,V2avei ,1428,2.0,1.0,80.0,12.1
4443,Plot  Area,Ready To Move,Akshaya Nagar,4 Bedroom,Unknown,750,4.0,2.0,62.0,13.8
4444,Super built-up  Area,Ready To Move,Whitefield,4 BHK,Unknown,3252,4.0,3.0,280.0,17.3
4445,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Unknown,1194,2.0,2.0,46.0,14.9
4446,Plot  Area,Ready To Move,Old Town,8 Bedroom,Unknown,750,8.0,1.5817572892040976,200.0,17.3
4447,Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,Unknown,1080,2.0,2.0,35.0,14.5
4448,Super built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,Unknown,1200,2.0,1.0,68.0,11.7
4449,Plot  Area,17-Dec,Whitefield,2 Bedroom,Unknown,1200,2.0,1.0,45.0,17.3
4450,Plot  Area,Ready To Move,Okalipura,5 Bedroom,Unknown,1200,4.0,3.0,120.0,17.3
4451,Built-up  Area,18-Dec,Bommasandra Industrial Area,3 BHK,Unknown,1320,2.0,1.0,38.13,21.6
4452,Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,DNncasa,1842,3.0,2.0,115.0,9.6
4453,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,NDpalSe,1146,2.0,3.0,55.0,6.6
4454,Super built-up  Area,20-Aug,Rachenahalli,1 BHK,AsNowre,440,1.0,1.0,28.0,13.0
4455,Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,KPhtsei,1048,2.0,3.0,50.0,13.3
4456,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1801,3.0,1.0,115.0,11.5
4457,Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,69.61,14.4
4458,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Viisear,1150,2.0,2.0,90.0,17.3
4459,Super built-up  Area,21-Mar,Talaghattapura,3 BHK,Sodgere,1868,3.0,1.0,120.0,17.1
4460,Super built-up  Area,18-Apr,Begur,3 BHK,Arera V,1445,2.0,2.0,47.1,12.9
4461,Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1466,2.0,3.0,140.0,13.4
4462,Built-up  Area,Ready To Move,Harlur,3 BHK,Unknown,1730,3.0,2.0,100.0,16.1
4463,Super built-up  Area,18-Dec,JP Nagar,3 BHK,Pehtsa ,3860,3.0,2.0,402.0,9.9
4464,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1185,2.0,3.0,70.0,12.0
4465,Built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,Unknown,3027,4.0,3.0,260.0,13.4
4466,Built-up  Area,20-Dec,Whitefield,4 BHK,Unknown,2400,4.0,3.0,147.0,17.3
4467,Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Unknown,1185,2.0,1.0,49.0,8.9
4468,Super built-up  Area,18-Aug,Hongasandra,2 BHK,Unknown,1150,2.0,2.0,49.0,10.4
4469,Plot  Area,Ready To Move,Maruthi Extension,5 Bedroom,Unknown,2000,4.0,2.0,180.0,17.3
4470,Plot  Area,Ready To Move,Vidyapeeta,6 Bedroom,Unknown,875,3.0,1.0,98.0,17.3
4471,Super built-up  Area,Ready To Move,Pai Layout,2 BHK,Unknown,1075,2.0,2.0,35.0,7.1
4472,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,3.0,2.0,123.0,11.1
4473,Super built-up  Area,Ready To Move,Banashankari,2 BHK,Unknown,1600,2.0,1.0,63.98,11.2
4474,Plot  Area,Ready To Move,Madiwala,4 Bedroom,Unknown,910,4.0,1.0,140.0,6.8
4475,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Ozensve,1000,2.0,1.0,78.0,14.9
4476,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1215,2.0,2.0,90.0,11.0
4477,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,Ste 2al,1734,3.0,3.0,125.0,14.6
4478,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,Unknown,1280,2.0,1.0,60.0,13.8
4479,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Paentta,1113,2.0,1.0,55.0,13.0
4480,Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,Unknown,1272,2.0,2.0,48.0,9.9
4481,Built-up  Area,Ready To Move,Kereguddadahalli,3 BHK,Jaood G,1240,3.0,2.0,41.0,19.4
4482,Built-up  Area,Ready To Move,Varthur,8 Bedroom,Unknown,704,8.0,3.0,92.0,17.4
4483,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Unknown,1100,2.0,1.0,70.0,20.8
4484,Super built-up  Area,19-Apr,Ambalipura,2 BHK,Sisice ,896,2.0,1.0,30.13,13.7
4485,Super built-up  Area,Ready To Move,Rachenahalli,4 BHK,Unknown,3657,5.0,1.5817572892040976,220.0,13.0
4486,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Fea 3Al,1200,2.0,0.0,35.0,10.0
4487,Built-up  Area,Ready To Move,Ramagondanahalli,4 BHK,Unknown,2800,4.0,3.0,155.0,15.4
4488,Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2790,4.0,3.0,198.0,11.1
4489,Built-up  Area,Ready To Move,Ambalipura,3 BHK,AltesEs,3500,3.0,1.5817572892040976,198.0,13.7
4490,Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,Unknown,3600,3.0,2.0,150.0,11.7
4491,Built-up  Area,Ready To Move,Sarjapur,2 BHK,Srncya ,1500,2.0,2.0,30.0,17.2
4492,Plot  Area,Ready To Move,Meenakshi Layout,8 Bedroom,Unknown,1200,7.0,0.0,220.0,17.3
4493,Super built-up  Area,Ready To Move,S R Layout,2 BHK,Seasare,1096,2.0,2.0,48.0,17.3
4494,Built-up  Area,Ready To Move,Cholanayakanahalli,2 Bedroom,Unknown,580,2.0,0.0,95.0,10.9
4495,Super built-up  Area,Ready To Move,GD Layout,2 BHK,Unknown,1094,2.0,1.0,44.0,17.3
4496,Super built-up  Area,Ready To Move,Vittal Nagar,2 BHK,Unknown,1100,2.0,2.0,49.0,17.3
4497,Super built-up  Area,Ready To Move,Iblur Village,4 BHK,DNionfl,2725 - 3250,5.0,0.0,191.0,13.8
4498,Super built-up  Area,19-Sep,Koramangala,4 BHK,Prood P,2503,6.0,2.0,325.0,8.3
4499,Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,Unknown,1145,2.0,2.0,40.0,17.0
4500,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,3.0,2.0,74.5,13.0
4501,Super built-up  Area,Ready To Move,Seegehalli,3 BHK,Paoliy ,1830,4.0,2.0,82.0,13.9
4502,Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1746,3.0,3.0,84.95,13.3
4503,Built-up  Area,Ready To Move,Maruthi Sevanagar,4 Bedroom,Unknown,1280,4.0,1.0,115.0,5.1
4504,Super built-up  Area,20-Aug,Kengeri,2 BHK,Unknown,918,2.0,1.0,27.54,22.5
4505,Super built-up  Area,18-Jul,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45,24.0
4506,Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1305,2.0,1.0,60.0,11.2
4507,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,SLavena,1207,2.0,2.0,62.0,15.0
4508,Built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1678,3.0,2.0,125.0,11.5
4509,Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950,2.0,1.0,50.0,32.9
4510,Plot  Area,Ready To Move,Munnekollal,10 Bedroom,Unknown,1200,7.0,1.5817572892040976,240.0,12.4
4511,Super built-up  Area,18-Feb,Electronic City,2 BHK,GMown E,1070,2.0,1.0,55.0,18.1
4512,Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1732.46,3.0,2.0,92.0,23.1
4513,Super built-up  Area,Ready To Move,Attibele,3 BHK,DSvar S,1639,2.0,1.0,40.98,31.8
4514,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Prionad,1360,2.0,1.0,103.0,10.9
4515,Plot  Area,Ready To Move,Malleshpalya,4 Bedroom,Unknown,2592,4.0,2.0,250.0,9.4
4516,Plot  Area,Ready To Move,RMV 2nd Stage,3 Bedroom,Unknown,4470,3.0,1.5817572892040976,700.0,11.4
4517,Plot  Area,Ready To Move,Kithaganur,5 Bedroom,Unknown,720,4.0,3.0,62.0,17.3
4518,Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1656,3.0,2.0,150.0,13.3
4519,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Asira E,985,2.0,1.0,49.0,17.2
4520,Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,Unknown,1999,3.0,2.0,135.0,11.9
4521,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1050,2.0,1.0,75.0,11.0
4522,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Unknown,1440,2.0,2.0,64.0,17.3
4523,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Swers T,1600,2.0,2.0,160.0,7.1
4524,Super built-up  Area,17-Nov,Ramagondanahalli,2 BHK,ViistLa,1253,2.0,1.0,52.66,15.4
4525,Plot  Area,Ready To Move,Shirdi Sai Nagar,3 Bedroom,Unknown,1200,3.0,0.0,85.0,17.3
4526,Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,Unknown,1360,2.0,3.0,75.0,11.3
4527,Super built-up  Area,Ready To Move,Hagadur,2 BHK,Unknown,1086,2.0,1.0,47.5,17.3
4528,Super built-up  Area,Ready To Move,Wilson Garden,3 BHK,Gonoril,1655,3.0,2.0,155.0,4.5
4529,Plot  Area,17-Feb,Old Madras Road,4 Bedroom,Unknown,2600,4.0,1.5817572892040976,260.0,4.7
4530,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1418,2.0,2.0,78.0,17.2
4531,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1270,2.0,2.0,100.0,13.5
4532,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2.0,3.0,52.17,10.8
4533,Super built-up  Area,19-Jan,"JP Nagar 7th Phase, ",2 BHK,Unknown,1150,2.0,1.0,74.0,17.3
4534,Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,Unknown,600,3.0,2.0,45.0,11.7
4535,Built-up  Area,Ready To Move,Raghuvanahalli,3 BHK,Unknown,1440,3.0,2.0,65.8,16.2
4536,Plot  Area,Ready To Move,J C Nagar,3 Bedroom,Unknown,1200,2.0,0.0,108.0,17.3
4537,Super built-up  Area,Ready To Move,Sadduguntepalya,2 BHK,Jaanaa ,1200,2.0,2.0,75.0,17.3
4538,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2.0,3.0,50.06,10.8
4539,Plot  Area,Ready To Move,Chandapura,4 Bedroom,Cangse ,1200,5.0,2.0,92.0,24.0
4540,Plot  Area,Ready To Move,Jalahalli,3 Bedroom,Unknown,600,3.0,2.0,60.0,16.6
4541,Built-up  Area,18-Dec,Whitefield,1 BHK,Unknown,624,1.0,1.0,35.0,17.3
4542,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Pao 3ow,1060,2.0,1.0,58.0,18.1
4543,Super built-up  Area,20-Dec,Hebbal,4 BHK,Cehosy ,3960,5.0,3.0,386.0,11.1
4544,Plot  Area,18-Aug,Whitefield,2 Bedroom,Unknown,1200,2.0,1.0,45.0,17.3
4545,Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,Unknown,1200,4.0,2.0,175.0,18.0
4546,Built-up  Area,Ready To Move,Sarjapur,4 BHK,Unknown,1917,3.0,0.0,60.0,17.2
4547,Super built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,950,2.0,1.0,40.0,11.9
4548,Plot  Area,18-Dec,Channasandra,2 Bedroom,Unknown,3040,2.0,1.0,48.0,19.6
4549,Super built-up  Area,18-May,BTM 2nd Stage,3 BHK,Unknown,1250,3.0,1.0,50.0,10.0
4550,Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,Sanumn ,1235,2.0,2.0,60.0,12.0
4551,Super built-up  Area,Ready To Move,Budigere,1 BHK,PrityTr,722,1.0,0.0,46.0,30.9
4552,Plot  Area,Ready To Move,Kanakpura Road,4 Bedroom,ColeyNa,2775,3.0,1.0,165.0,26.5
4553,Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Mades G,1200,2.0,1.0,93.0,17.2
4554,Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Unknown,1400,3.0,1.5817572892040976,68.0,18.8
4555,Built-up  Area,Ready To Move,Mallathahalli,3 BHK,Viers S,1225,3.0,3.0,60.0,15.0
4556,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Unknown,1220,2.0,1.0,58.5,10.9
4557,Super built-up  Area,Ready To Move,Nagavarapalya,1 BHK,PuonsSe,705,1.0,1.0,52.5,7.0
4558,Super built-up  Area,Ready To Move,Battarahalli,3 BHK,PaontWa,1880,3.0,2.0,94.36,12.9
4559,Plot  Area,Ready To Move,Yelahanka,2 Bedroom,Unknown,1200,2.0,1.0,70.0,20.8
4560,Built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,SrarkSk,1550,2.0,1.0,60.0,17.4
4561,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1893,3.0,1.0,130.0,21.4
4562,Super built-up  Area,Ready To Move,HMT Layout,3 BHK,LoentKr,1650,3.0,2.0,75.0,11.5
4563,Built-up  Area,Ready To Move,Chikkathoguru,2 BHK,Srvasi ,1113,2.0,2.0,46.0,15.1
4564,Plot  Area,Ready To Move,BEL Road,2 Bedroom,Unknown,1500,2.0,0.0,203.0,11.5
4565,Plot  Area,Ready To Move,Kamakshipalya,9 Bedroom,Unknown,1800,9.0,1.0,180.0,12.4
4566,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJtumty,1586,3.0,3.0,70.0,17.2
4567,Plot  Area,Ready To Move,Seegehalli,3 Bedroom,Chorda ,4000,3.0,1.0,235.0,13.9
4568,Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,SPllain,1541,3.0,3.0,80.0,21.5
4569,Super built-up  Area,18-Dec,Haralur Road,3 BHK,SNnia E,1830,3.0,2.0,101.0,14.9
4570,Super built-up  Area,Ready To Move,Kodigehalli,2 BHK,Unknown,1200,2.0,2.0,48.0,15.8
4571,Plot  Area,Ready To Move,Bidrahalli,3 Bedroom,Unknown,1800,2.0,0.0,72.0,17.3
4572,Super built-up  Area,18-Jun,Bommasandra,2 BHK,SSestth,1015,2.0,1.0,40.0,21.7
4573,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1120,2.0,2.0,37.95,15.3
4574,Super built-up  Area,21-Dec,Hoodi,1 BHK,GoAirej,706,1.0,1.0,48.24,13.3
4575,Plot  Area,Ready To Move,Medi Agrahara,4 Bedroom,Unknown,1350,4.0,2.0,85.0,17.3
4576,Plot  Area,Ready To Move,Kumaraswami Layout,6 Bedroom,Unknown,610,4.0,1.5817572892040976,95.0,12.2
4577,Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,ColeyNa,1900,3.0,1.0,99.0,26.5
4578,Plot  Area,Ready To Move,Harlur,4 Bedroom,Unknown,1200,4.0,1.5817572892040976,243.0,16.1
4579,Built-up  Area,Ready To Move,Seegehalli,4 BHK,Paoliy ,3000,5.0,3.0,150.0,13.9
4580,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,42.0,38.4
4581,Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1290,2.0,3.0,80.0,26.5
4582,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SuBayin,1200,2.0,1.0,50.0,13.8
4583,Built-up  Area,Ready To Move,Hormavu,2 BHK,Naandit,1150,2.0,1.0,53.11,11.9
4584,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Unknown,1360,2.0,3.0,61.2,12.9
4585,Carpet  Area,Ready To Move,4th Block Koramangala,9 BHK,Unknown,4500,9.0,1.5817572892040976,500.0,8.9
4586,Super built-up  Area,20-Dec,whitefiled,2 BHK,Unknown,935,2.0,1.0,32.73,17.3
4587,Super built-up  Area,Ready To Move,Cox Town,3 BHK,ElentAp,1730,3.0,3.0,140.0,4.8
4588,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Unknown,1260,2.0,2.0,53.0,17.2
4589,Built-up  Area,Ready To Move,Banagiri Nagar,6 Bedroom,Unknown,675,6.0,2.0,125.0,10.0
4590,Plot  Area,Ready To Move,Marathahalli,4 Bedroom,Unknown,4000,4.0,1.0,650.0,10.9
4591,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Unknown,950,2.0,1.0,45.68,10.9
4592,Plot  Area,Ready To Move,Subbannaiah Palya,2 Bedroom,Unknown,600,3.0,2.0,85.0,17.3
4593,Built-up  Area,Ready To Move,Vadarpalya,5 Bedroom,Unknown,2500,5.0,2.0,120.0,17.3
4594,Super built-up  Area,17-May,Hegde Nagar,4 BHK,SoisoCa,3216,5.0,2.0,300.0,13.7
4595,Plot  Area,Ready To Move,N R Layout,6 Bedroom,Unknown,800,3.0,2.0,120.0,17.3
4596,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4.0,2.0,88.0,30.9
4597,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,1115,2.0,1.0,60.0,17.2
4598,Super built-up  Area,Ready To Move,Koramangala,3 BHK,Gencysi,1900,3.0,3.0,150.0,8.3
4599,Super built-up  Area,18-May,Whitefield,2 BHK,SMuilan,1109,2.0,1.0,41.49,17.3
4600,Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,PuoodSk,2340,5.0,1.0,129.0,16.0
4601,Plot  Area,Ready To Move,Judicial Layout,6 Bedroom,Unknown,1200,6.0,2.0,300.0,16.3
4602,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chllea ,4356,5.0,1.0,850.0,17.3
4603,Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005,2.0,1.0,43.0,15.8
4604,Super built-up  Area,19-Aug,Kengeri,1 BHK,VBn 2lm,416,1.0,1.0,19.5,22.5
4605,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,NCaveun,1394,2.0,1.0,100.0,9.7
4606,Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,2138,3.0,2.0,110.0,16.1
4607,Built-up  Area,Ready To Move,Richards Town,3 BHK,Arata A,1550,3.0,2.0,160.0,5.6
4608,Super built-up  Area,Ready To Move,Nagavarapalya,3 BHK,Giconal,1300,3.0,1.0,80.0,7.0
4609,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1265,2.0,2.0,82.0,11.5
4610,Built-up  Area,Ready To Move,Manorayana Palya,2 BHK,Unknown,1140,2.0,2.0,52.0,17.3
4611,Carpet  Area,Ready To Move,BCC Layout,2 BHK,Mae 1Ar,1050,2.0,3.0,40.0,17.3
4612,Built-up  Area,Ready To Move,Thanisandra,2 BHK,Unknown,1100,2.0,1.0,48.0,11.5
4613,Super built-up  Area,18-May,Varthur,2 BHK,Soamsay,1012,2.0,1.0,59.0,17.4
4614,Plot  Area,18-May,Varthur,4 Bedroom,Darsh S,1600,4.0,3.0,112.0,17.4
4615,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,57.0,20.8
4616,Built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Unknown,1654,2.0,3.0,85.0,13.4
4617,Plot  Area,Ready To Move,Jeevan bima nagar,3 Bedroom,Unknown,1705,2.0,1.0,290.0,6.9
4618,Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,Unknown,1070,2.0,1.0,42.8,12.1
4619,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1700,3.0,2.0,95.0,17.3
4620,Carpet  Area,18-Dec,Bhoganhalli,2 BHK,Rosha I,910.2,2.0,1.0,80.64,15.3
4621,Super built-up  Area,Ready To Move,Kogilu,2 BHK,Unknown,1140,2.0,2.0,50.66,19.6
4622,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Skensk ,4960,4.0,3.0,400.0,17.3
4623,Super built-up  Area,18-Aug,Talaghattapura,3 BHK,Sodgere,2254,3.0,2.0,170.0,17.1
4624,Super built-up  Area,22-Mar,Kanakapura,2 BHK,Unknown,945,2.0,1.0,47.0,47.7
4625,Super built-up  Area,19-Aug,Begur Road,4 BHK,Pruthg ,2462,6.0,2.0,150.0,10.8
4626,Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Unknown,1350,3.0,0.0,240.0,10.2
4627,Super built-up  Area,19-Dec,Marathahalli,1 BHK,PrensKe,615,1.0,1.0,44.0,10.9
4628,Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,Unknown,1110,2.0,0.0,65.0,11.7
4629,Super built-up  Area,18-Mar,Haralur Road,1 BHK,SNnia E,575,1.0,1.0,88.0,14.9
4630,Super built-up  Area,18-Jul,Electronic City,2 BHK,GMown E,1025,2.0,1.0,54.1,18.1
4631,Built-up  Area,Ready To Move,Vinayak Nagar,3 BHK,Niarknt,1758,3.0,2.0,95.0,17.3
4632,Super built-up  Area,18-Dec,Gopalapura,4 BHK,Sothadr,3179,5.0,3.0,351.0,36.2
4633,Super built-up  Area,Ready To Move,Kaikondrahalli,3 BHK,Srsica ,1342,3.0,3.0,92.0,15.3
4634,Super built-up  Area,Ready To Move,Kalyan nagar,3 BHK,AgaveEn,1800,3.0,2.0,85.0,8.7
4635,Built-up  Area,18-Feb,Whitefield,4 BHK,Unknown,2928,4.0,3.0,198.0,17.3
4636,Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Unknown,1140,2.0,3.0,32.0,19.6
4637,Super built-up  Area,18-Jul,Raja Rajeshwari Nagar,2 BHK,Prllsan,1608,2.0,2.0,85.0,15.3
4638,Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Unknown,1645,2.0,2.0,82.0,18.7
4639,Super built-up  Area,18-Dec,Ramamurthy Nagar,3 BHK,Vaharvi,1410,2.0,1.0,56.4,11.7
4640,Super built-up  Area,Ready To Move,Harlur,2 BHK,Unknown,1200,2.0,2.0,52.0,16.1
4641,Super built-up  Area,18-Jun,8th Phase JP Nagar,3 BHK,Unknown,1275,2.0,2.0,41.5,14.5
4642,Built-up  Area,Ready To Move,Dodda Nekkundi,4 Bedroom,Adstah ,3800,4.0,2.0,600.0,11.9
4643,Super built-up  Area,Ready To Move,Kada Agrahara,3 BHK,CoaveAt,909,2.0,1.0,40.0,26.5
